question,answer
"Можно похимичить через открытые источники и куски публичной информации. Не знаю, я не эксперт, просто советуют даже кусочки персональных данных не публиковать, вот и всё 🤷",Вот и никак. Там даже номер карты для переводов скрыт. Нужен IBAN.
А зачем ты хотела наказать дебила?,"У меня если честно , тоже иногда появляется желание втащить кому-нибудь , прям дикое."
За мизинец. Больно ж!,Так погоди..ты написала что он бросал мелочь и так отшиб мизинец?
А зачем ты хотела наказать дебила?,За мизинец. Больно ж!
"Как, если нет никаких данных?","Можно похимичить через открытые источники и куски публичной информации. Не знаю, я не эксперт, просто советуют даже кусочки персональных данных не публиковать, вот и всё 🤷"
"Я начала бухать. Когда я хотела наказать дебила, который мелочь бросал на эскалаторе, у меня в агрессивной, бойцовской роли сработали он/его. 
Меня это испугало.
Я не хочу в это. Но не раз ловлю себя. Когда надо защищаться, я переключаюсь.",А зачем ты хотела наказать дебила?
"Лучше удали пост, всякие хакеры при желании и по картинке смогут карту взломать","Как, если нет никаких данных?"
Дать тебе рефералочку?),Если б она еще работала в моей дикой стране)))
Может ты что-то аочиняешь?,"Не, я правду говорю, без двойного дна."
"Афигеть!!! Теперь я знаю, где закажу карту))))",Дать тебе рефералочку?)
Знакомая ситуевина.,Он мне мизинец отшиб.
"Я начала бухать. Когда я хотела наказать дебила, который мелочь бросал на эскалаторе, у меня в агрессивной, бойцовской роли сработали он/его. 
Меня это испугало.
Я не хочу в это. Но не раз ловлю себя. Когда надо защищаться, я переключаюсь.",Знакомая ситуевина.
Можно выбрать любую обложку на карту? 🤯,"Не любую, но много предустановленных вариантов. Для физической карты платные, для виртуальной бесплатные"
"Лучше удали пост, всякие хакеры при желании и по картинке смогут карту взломать",Может ты что-то аочиняешь?
Карта НЕ именная?,Именная на деднейм((
Моя первая европейская банковская карта 🏳️‍⚧️,"Лучше удали пост, всякие хакеры при желании и по картинке смогут карту взломать"
Можно выбрать любую обложку на карту? 🤯,"Не совсем. Там были заготовленные шаблоны, в том числе и разные лгбтшные"
Там есть разные дизайны!,"Афигеть!!! Теперь я знаю, где закажу карту))))"
Я только Сашу Грей знаю,"Портман в подростковом возрасте снялась в фильме ""Леон"" с Жаном Рено."
Угу..вот я и решил уточнить.,Там есть разные дизайны!
Виртуальная же ),Угу..вот я и решил уточнить.
Карта НЕ именная?,Виртуальная же )
Моя первая европейская банковская карта 🏳️‍⚧️,Можно выбрать любую обложку на карту? 🤯
Моя первая европейская банковская карта 🏳️‍⚧️,Какой кайф тоже такую хочу 😍😍😍
Моя первая европейская банковская карта 🏳️‍⚧️,МЯМЯМЯМЯ ахуенаяяя
Одной руки😂,Ото ж)))
Одной руки😂,Фрезеровщика😶
Могу даже по пальцам пересчитать😁,Одной руки😂
"Не все, я знаю людей, которые не смотрят",Могу даже по пальцам пересчитать😁
"Вообще ничего плохого. Но я понимаю тех, кто имен не знает. Это тоже нормально. 
Все смотрят порно)))","Не все, я знаю людей, которые не смотрят"
"Ты так отмазываешься, будто знать имена порноактрис это что-то плохое😂
Я тоже смотрю порно, релакс😂","Вообще ничего плохого. Но я понимаю тех, кто имен не знает. Это тоже нормально. 
Все смотрят порно)))"
"Ну, блин, у всех была юность и молодость. По именам легче искать то, что нравиться. А я вообще периодически пишу о секс-работе и изучаю статистику порнхаба, так что не удивительно.","Ты так отмазываешься, будто знать имена порноактрис это что-то плохое😂
Я тоже смотрю порно, релакс😂"
Но вы их знаете тем не менее),"Ну, блин, у всех была юность и молодость. По именам легче искать то, что нравиться. А я вообще периодически пишу о секс-работе и изучаю статистику порнхаба, так что не удивительно."
"Ну да, в таком жанре обычно не до имен актеров)))",Но вы их знаете тем не менее)
Да я понимаю) просто не знаю имён,"Ну да, в таком жанре обычно не до имен актеров)))"
Кроме нее есть ещё много кто))),Да я понимаю) просто не знаю имён
Я только Сашу Грей знаю,Кроме нее есть ещё много кто)))
"Актрисы. Одна просто, а вторая... скажем так, оригинального жанра)))",Я только Сашу Грей знаю
Кто все эти люди?,"Актрисы. Одна просто, а вторая... скажем так, оригинального жанра)))"
Наташа Портман?,она богинистая дамочка❤️
Наташа Портман?,Наташа Марс))))))
Всех куськи 🕷️,Кусь))
Да как и везде в нецивилизованном мире.,Увы да .
"А ну вот видишь как , при желании найдут за что .",Да как и везде в нецивилизованном мире.
"Ну, как, проще... процедура транс перехода отсутсвует, как явление. Но прям специально не сажают. В  этом проще. А так, был бы человек - статья найдется.","А ну вот видишь как , при желании найдут за что ."
"Серьёзно? 
Это ж получается на много проще чем у нас .","Ну, как, проще... процедура транс перехода отсутсвует, как явление. Но прям специально не сажают. В  этом проще. А так, был бы человек - статья найдется."
"Серьёзно? 
Это ж получается на много проще чем у нас .","Никакой помощи т*персонам и они даже не будут иметь информацию о том кто они, никаких шаг в лево или право от стандартов внешности и никаких однополых браков.
Такое"
Это вы ещё в Европе не жили!,"Не идеальные они конечно, но больше стараются обычно, чем рф"
"Кстати, нет. Там вопрос ЛГБТ не регулируется вообще никак. Позиция партии в том, что это чуждое буржуазное измышление и в нашей стране такого нет. 
Ну а если нет явления, то нет и законов.","Серьёзно? 
Это ж получается на много проще чем у нас ."
"Не боишься, что на кол там посадят?😂",Надеюсь втайне 🌚
"А что до интернета, то рф не сможет в свой.
Население у рф не 1ккк, так же рф всего и всё делает халтурно, попытки конкурировать с ютубом кончились провалом",Это вы ещё в Европе не жили!
"Так же, как и на супружескую неверность. Ничего хорошего. Но за мужеложество статьи нет.",Понятно
"Ну вобще взглядов на жизнь, отношния и пр. ключевые вопросы😁",Хм
Но как-то же они реагируют на однополые отношения?,"Так же, как и на супружескую неверность. Ничего хорошего. Но за мужеложество статьи нет."
"Кстати, нет. Там вопрос ЛГБТ не регулируется вообще никак. Позиция партии в том, что это чуждое буржуазное измышление и в нашей стране такого нет. 
Ну а если нет явления, то нет и законов.",Но как-то же они реагируют на однополые отношения?
А чего ещё?,"Ну вобще взглядов на жизнь, отношния и пр. ключевые вопросы😁"
"Мне кажется в Северной Корее с такими как мы всё быстрее решается чем в раше , закрыли и расстрел .","Кстати, нет. Там вопрос ЛГБТ не регулируется вообще никак. Позиция партии в том, что это чуждое буржуазное измышление и в нашей стране такого нет. 
Ну а если нет явления, то нет и законов."
Это касается не только стран😉,А чего ещё?
Какие у тебя специфичные вкусы,Это касается не только стран😉
"Как туристу мне тоже. 
Но на ПМЖ в КНДР не попасть. Про южную не знаю, но что-то мне подсказывает, что тоже непросто",Зачем бы мне понадобилось на ПМЖ в КНДР?🧐 на ПМЖ я никуда не хочу.
Все едем в трансильванию!,"Не боишься, что на кол там посадят?😂"
"Как туристу мне тоже. 
Но на ПМЖ в КНДР не попасть. Про южную не знаю, но что-то мне подсказывает, что тоже непросто","Северные корейцы иногда дают политическое убежище.  Южные - нет.
Вообще про КНДР сейчас на ютубе есть тов. Ланьков, он много чего рассказывает. Но я хз зачем туда можно..."
Мне обе интересны как туристу,"Как туристу мне тоже. 
Но на ПМЖ в КНДР не попасть. Про южную не знаю, но что-то мне подсказывает, что тоже непросто"
Мне обе интересны как туристу,Какие у тебя специфичные вкусы
А в Корею которую?,Мне обе интересны как туристу
Скоро за Тайвань возьмутся. В Китая я оч хочу и в Корею. Азия манит меня;),А в Корею которую?
Мне это все что то очень напоминает..Китаю Трамп уже пошлинами подпортил,"С США испортил, а так там два крупных морских торговых пути и если война, то ими нельзя пользоваться, никому это не понравится"
"Угрожают, но есть много трудностей с таким решением.
Если не завоюют побыстрому, то это будет огромный ущерб мировой торговле, что испортит Китаю не только репутацию, но и жизнь напрямую. Воевал Китай последний раз в 70ых и как в современном мире будет выглядеть захват острова не знает ни кто.

В общем они заносят кому надо денег, информационно влияют и стараются, чтобы к власти пришли лочльные Китаю, а чего-то военного не было, только угрозы",Мне это все что то очень напоминает..Китаю Трамп уже пошлинами подпортил
"Купить? Как я понял там своя СВО на горизонте. Китай меня пугает своими технологиями с точки зрения отслеживания населения, внутренний ИнтЫрнет,социальный рейтинг и тп. В РФ интернет еще пока общий.., но уже не совсем:(","А что до интернета, то рф не сможет в свой.
Население у рф не 1ккк, так же рф всего и всё делает халтурно, попытки конкурировать с ютубом кончились провалом"
"Купить? Как я понял там своя СВО на горизонте. Китай меня пугает своими технологиями с точки зрения отслеживания населения, внутренний ИнтЫрнет,социальный рейтинг и тп. В РФ интернет еще пока общий.., но уже не совсем:(","Угрожают, но есть много трудностей с таким решением.
Если не завоюют побыстрому, то это будет огромный ущерб мировой торговле, что испортит Китаю не только репутацию, но и жизнь напрямую. Воевал Китай последний раз в 70ых и как в современном мире будет выглядеть захват острова не знает ни кто.

В общем они заносят кому надо денег, информационно влияют и стараются, чтобы к власти пришли лочльные Китаю, а чего-то военного не было, только угрозы"
"Пытаются купить их уже давно, но пока никак (вот пусть так и остаётся, Тайвань там единственные толерантные).

Китай лучше рф, но такое, не особо толератный и не особо свободный.

Корея тоже довольно скрепная","Купить? Как я понял там своя СВО на горизонте. Китай меня пугает своими технологиями с точки зрения отслеживания населения, внутренний ИнтЫрнет,социальный рейтинг и тп. В РФ интернет еще пока общий.., но уже не совсем:("
Скоро за Тайвань возьмутся. В Китая я оч хочу и в Корею. Азия манит меня;),"Пытаются купить их уже давно, но пока никак (вот пусть так и остаётся, Тайвань там единственные толерантные).

Китай лучше рф, но такое, не особо толератный и не особо свободный.

Корея тоже довольно скрепная"
"Гон Конг испортили, они были свободнее, но Китай это обломал",Скоро за Тайвань возьмутся. В Китая я оч хочу и в Корею. Азия манит меня;)
"Да первые еще и людоеды! Колониальная политика тогда и дикие мигранты ща..😆 кста, читали новость что в Германии признали экстремистской целую политическую партию! Такие вот свободы  в Европе теперь.","Гон Конг испортили, они были свободнее, но Китай это обломал"
"Первых испортили, а вторые не френдли","Да первые еще и людоеды! Колониальная политика тогда и дикие мигранты ща..😆 кста, читали новость что в Германии признали экстремистской целую политическую партию! Такие вот свободы  в Европе теперь."
"Европа меня не привлекает совсем..я там был. Больше не хочу. Вот я бы Гон Конг посмотрел, Сингапур..дааа","Первых испортили, а вторые не френдли"
"По моим наблюдениям ЛГБТ сообщество достаточно теплолюбиво😁🤔 не припомню никого, кто мечтал бы жить в Исландии, н-р",Я
"Все шикарные т фам будут ходить в шубах из песца, а т маски в шкурах белого медведя! 😂  ПыСы: я против натурального меха!","По моим наблюдениям ЛГБТ сообщество достаточно теплолюбиво😁🤔 не припомню никого, кто мечтал бы жить в Исландии, н-р"
"Мдаа, в Антарктиде самое то👍😁","Все шикарные т фам будут ходить в шубах из песца, а т маски в шкурах белого медведя! 😂  ПыСы: я против натурального меха!"
В Парни Плюс помню обсуждалась идея создания ЛГБТ + государства..в Антарктиде чтоль😅 мне идея не заходит. Это же изоляция вместо интеграции. В этом государстве возникли бы еще и еще какие то ущемленные и притеснённые меньшинства и так дробиться можно до бесконечности..это не выход.,"Мдаа, в Антарктиде самое то👍😁"
Все едем в трансильванию!,Да..поедем! там не хватает нового Дракулы - меня😅
В Парни Плюс помню обсуждалась идея создания ЛГБТ + государства..в Антарктиде чтоль😅 мне идея не заходит. Это же изоляция вместо интеграции. В этом государстве возникли бы еще и еще какие то ущемленные и притеснённые меньшинства и так дробиться можно до бесконечности..это не выход.,Все едем в трансильванию!
"А на другую планету ни кто не свалил ещё, как там у них на Альфа-Центавре🙂?","Я как доберусь, расскажу"
"Супер полезный [гайд от МКЦ](https://t.me/mcclgbt/1687?single) для тех, кто хочет эмигрировать, но не знает, с чего начать и даже какую выбрать страну. 
Они собрали опыт разных ЛГБТ людей, которые уже уехали в разные страны и сделали интерактивную карту. 
Информация о визах, условиях проживания, получения ВНЖ, беженства и многих других аспектах. Жаль, такого ресурса не было год-два назад, когда я сама была в растерянности и не знала что делать. Чекайте.

[Ссылка](https://mcclgbt.org/%D0%B3%D0%B0%D0%B9%D0%B4-%D0%BF%D0%BE-%D1%80%D0%B5%D0%BB%D0%BE%D0%BA%D0%B0%D1%86%D0%B8%D0%B8-%D0%B4%D0%BB%D1%8F-%D0%BB%D0%B3%D0%B1%D1%82%D0%BA-%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD/) на саму интерактивную карту. 
[Зеркало](https://ovgliyzv-bsccljbcrq-ez.a.run.app/%D0%B3%D0%B0%D0%B9%D0%B4-%D0%BF%D0%BE-%D1%80%D0%B5%D0%BB%D0%BE%D0%BA%D0%B0%D1%86%D0%B8%D0%B8-%D0%B4%D0%BB%D1%8F-%D0%BB%D0%B3%D0%B1%D1%82%D0%BA-%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD/) без VPN.","А на другую планету ни кто не свалил ещё, как там у них на Альфа-Центавре🙂?"
"Да и пускай!

Я просто постоянно чуствую себя неловко за своё ""расширение нормальности"", когда я рассказываю о себе ""нормальным"" людям.","Это понятно, это нормально. Какое-то время так еще будет, потом должно пройти."
Ну а чо? Тому Кукурузу там тоже хорошо)))),"Да и пускай!

Я просто постоянно чуствую себя неловко за своё ""расширение нормальности"", когда я рассказываю о себе ""нормальным"" людям."
"Мне сегодня написал университетский друг, спросил чего я переименовалась в соцсетях, пришлось рассказать про транспереход. Из-за этого незапланированного камин-аута я чувтсвовала себя не очень, но потом он мне скинул ссылку на саентологическую церковь и мне стало хорошо. 

Так классно быть не самой ебанутой в комнате!",Ну а чо? Тому Кукурузу там тоже хорошо))))
Бесполезно. В любой точке мира найдутся нетолерантные люди которые кучкуются. Вопрос только что они реально могут сделать неприятного.,"Ну да, не во всех странах боятся обидеть чувства мракобесов"
"Надо в гайд добавить пункт ""отсутствие общин, которые могут устроить конфликт"". 🌚",Бесполезно. В любой точке мира найдутся нетолерантные люди которые кучкуются. Вопрос только что они реально могут сделать неприятного.
"Ну да.
Если в лучшие не получается, то и в Бельгию тоже не получится, она на том же уровне в целом.

Самые простые европейцы для рфшных - это Сербия, но вот надо ли оно","Не надо. Говорят, там неплохо, но... зачем, если есть условная Испания или Германия?"
В Бельгии тоже не дешево и много людей.  Очень разных людей.,"Ну да.
Если в лучшие не получается, то и в Бельгию тоже не получится, она на том же уровне в целом.

Самые простые европейцы для рфшных - это Сербия, но вот надо ли оно"
"В нидерландах толерантно. Я вполне могу в самом начале перехода носить те же самые платья, и всем примерно пофиг. Были сложности в школе, где директор распереживалась что будут конфликты с мусульманской общиной, но пара писем в вышестоящие организации и все проблемы разрешены. Дискриминация запрещена на законодательном уровне. 

С медициной сложнее — если вы уже на згт, то продолжить её сможете без проблем у семейного врача (GP, Huisarts), но чтобы подтвердить диагноз здесь и получить эндокринолога, нужно будет отстоять огромные очереди в гендерные клиники. Медицина очень своеобразная, частной медицины нет, а по назначению прорваться к узкому специалисту сложно. Но можно.","Надо в гайд добавить пункт ""отсутствие общин, которые могут устроить конфликт"". 🌚"
"Зато не в одиночку, а сразу вместе с местными, что не бедные (средние), начало неплохое.

Бельгия это тоже как скандинавцы и другие лучшие, так что",В Бельгии тоже не дешево и много людей.  Очень разных людей.
"Хотеть не вредно, как говориться. Италия не очень френдли, но туда хоть реально. Вообще, я сделала вывод, что если с деньгами плохо или средне, что смотреть надо надо на центральную и южную Европу. Германия, Франция, Испания, Португалия и вот это вот все. Может быть, Бельгия, но не факт. Как-то так я это вижу. Многие уехали прям беженцами в Испанию и в общем, довольны. Не все, но многие.","Зато не в одиночку, а сразу вместе с местными, что не бедные (средние), начало неплохое.

Бельгия это тоже как скандинавцы и другие лучшие, так что"
"Хотелось бы к скандинавцам по работе добраться, если за 2 года возможность не появится, то тогда у меня есть и более реалистичный вариант - к родичам в Италию, а уже от туда в будущем думать куда дальше","Хотеть не вредно, как говориться. Италия не очень френдли, но туда хоть реально. Вообще, я сделала вывод, что если с деньгами плохо или средне, что смотреть надо надо на центральную и южную Европу. Германия, Франция, Испания, Португалия и вот это вот все. Может быть, Бельгия, но не факт. Как-то так я это вижу. Многие уехали прям беженцами в Испанию и в общем, довольны. Не все, но многие."
"Если есть или предвидится пару миллионов евро, то да, можно, а если нет,  то нет. Ну ок, Нидерланды может и не настолько дороги по сравнению с, но начиная со Швейцарии и далее по списку, деньги нужны просто космические. + северяне вообще у себя никого не ждут особо.  Мальта, в хорошее время, торговала паспортами, как и Кипр. Как сейчас, хз, но и в хорошее время там чет от пол миллиона... примерно такой порядок цен.","Хотелось бы к скандинавцам по работе добраться, если за 2 года возможность не появится, то тогда у меня есть и более реалистичный вариант - к родичам в Италию, а уже от туда в будущем думать куда дальше"
"Они одни из лучших, так что знать и стремится хотелось бы, может не сразу с рф, но в целом","Если есть или предвидится пару миллионов евро, то да, можно, а если нет,  то нет. Ну ок, Нидерланды может и не настолько дороги по сравнению с, но начиная со Швейцарии и далее по списку, деньги нужны просто космические. + северяне вообще у себя никого не ждут особо.  Мальта, в хорошее время, торговала паспортами, как и Кипр. Как сейчас, хз, но и в хорошее время там чет от пол миллиона... примерно такой порядок цен."
"А зачем? Кроме Нидерландов в остальные места попасть около нереально и нужны просто запредельные деньги, чтобы там жить.","Они одни из лучших, так что знать и стремится хотелось бы, может не сразу с рф, но в целом"
"Хотелось бы про Данию, Исландию, Люксембург, Мальту, Швейцарию и Нидерланды тоже прочесть, а нету","А зачем? Кроме Нидерландов в остальные места попасть около нереально и нужны просто запредельные деньги, чтобы там жить."
It они любят?,"Из крупных IT тут Booking, офисы Meta и Google. Из российских Miro, JetBrains и Nebius. Куча мелких местных игроков. Очень много серверной и сетевой инфраструктуры. Ну и банки для тех кому не противны банки."
"Мне Нидерланды очень навятся. Тут классные люди, красивая природа, очень красивые города, комфортный климат, и лояльное к лгтбк+ общество. Мы купили тут себе дом, дети уже болтают на голландском. Решили что останемся здесь.",Круто
"Лучше всего — по рабочей визе как я 🙂 Но есть и путь через бежество, про него лучше спрашивать у тех кто этот путь проходил. Там есть много сложностей, о которых лучше знать заранее.",It они любят?
"Не холодно, но погода дождливая, ветренная и переменчивая. Вы будете жить на абсолютно плоской земле рядом с морем 🙂 Но мне климат здесь нравится. Летом не слишком жарко, зимой не холодно.","Люблю холод, но и что не жарко это хорошо"
"Давай.

Хочу знать насколько толерантно, как с медициной, жильём, стоимостью жизни, холодно ли там и как лучше всего туда попасть (без кучи денег, конечно же)","Лучше всего — по рабочей визе как я 🙂 Но есть и путь через бежество, про него лучше спрашивать у тех кто этот путь проходил. Там есть много сложностей, о которых лучше знать заранее."
"Давай.

Хочу знать насколько толерантно, как с медициной, жильём, стоимостью жизни, холодно ли там и как лучше всего туда попасть (без кучи денег, конечно же)","Не холодно, но погода дождливая, ветренная и переменчивая. Вы будете жить на абсолютно плоской земле рядом с морем 🙂 Но мне климат здесь нравится. Летом не слишком жарко, зимой не холодно."
"Давай.

Хочу знать насколько толерантно, как с медициной, жильём, стоимостью жизни, холодно ли там и как лучше всего туда попасть (без кучи денег, конечно же)","Со стоимостью жизни — дорого, всё дорого. Но нужно уточнять по вашей жизненной ситуации и финансовым привычкам."
"В нидерландах толерантно. Я вполне могу в самом начале перехода носить те же самые платья, и всем примерно пофиг. Были сложности в школе, где директор распереживалась что будут конфликты с мусульманской общиной, но пара писем в вышестоящие организации и все проблемы разрешены. Дискриминация запрещена на законодательном уровне. 

С медициной сложнее — если вы уже на згт, то продолжить её сможете без проблем у семейного врача (GP, Huisarts), но чтобы подтвердить диагноз здесь и получить эндокринолога, нужно будет отстоять огромные очереди в гендерные клиники. Медицина очень своеобразная, частной медицины нет, а по назначению прорваться к узкому специалисту сложно. Но можно.",Понятненько
"Давай.

Хочу знать насколько толерантно, как с медициной, жильём, стоимостью жизни, холодно ли там и как лучше всего туда попасть (без кучи денег, конечно же)","В нидерландах толерантно. Я вполне могу в самом начале перехода носить те же самые платья, и всем примерно пофиг. Были сложности в школе, где директор распереживалась что будут конфликты с мусульманской общиной, но пара писем в вышестоящие организации и все проблемы разрешены. Дискриминация запрещена на законодательном уровне. 

С медициной сложнее — если вы уже на згт, то продолжить её сможете без проблем у семейного врача (GP, Huisarts), но чтобы подтвердить диагноз здесь и получить эндокринолога, нужно будет отстоять огромные очереди в гендерные клиники. Медицина очень своеобразная, частной медицины нет, а по назначению прорваться к узкому специалисту сложно. Но можно."
про Нидерланды я могу рассказать (кроме процедуры легализации),"Давай.

Хочу знать насколько толерантно, как с медициной, жильём, стоимостью жизни, холодно ли там и как лучше всего туда попасть (без кучи денег, конечно же)"
"Хотелось бы про Данию, Исландию, Люксембург, Мальту, Швейцарию и Нидерланды тоже прочесть, а нету",про Нидерланды я могу рассказать (кроме процедуры легализации)
"Супер полезный [гайд от МКЦ](https://t.me/mcclgbt/1687?single) для тех, кто хочет эмигрировать, но не знает, с чего начать и даже какую выбрать страну. 
Они собрали опыт разных ЛГБТ людей, которые уже уехали в разные страны и сделали интерактивную карту. 
Информация о визах, условиях проживания, получения ВНЖ, беженства и многих других аспектах. Жаль, такого ресурса не было год-два назад, когда я сама была в растерянности и не знала что делать. Чекайте.

[Ссылка](https://mcclgbt.org/%D0%B3%D0%B0%D0%B9%D0%B4-%D0%BF%D0%BE-%D1%80%D0%B5%D0%BB%D0%BE%D0%BA%D0%B0%D1%86%D0%B8%D0%B8-%D0%B4%D0%BB%D1%8F-%D0%BB%D0%B3%D0%B1%D1%82%D0%BA-%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD/) на саму интерактивную карту. 
[Зеркало](https://ovgliyzv-bsccljbcrq-ez.a.run.app/%D0%B3%D0%B0%D0%B9%D0%B4-%D0%BF%D0%BE-%D1%80%D0%B5%D0%BB%D0%BE%D0%BA%D0%B0%D1%86%D0%B8%D0%B8-%D0%B4%D0%BB%D1%8F-%D0%BB%D0%B3%D0%B1%D1%82%D0%BA-%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD/) без VPN.","Хотелось бы про Данию, Исландию, Люксембург, Мальту, Швейцарию и Нидерланды тоже прочесть, а нету"
"Если там высокая защищенность, чего все Т от трампа воют?","Так как он сломать всё это хочет, но пока особо не смог.
США фигня, но в сравнении с Британией они теперь гараздо лучше, даже сейчас"
"Супер полезный [гайд от МКЦ](https://t.me/mcclgbt/1687?single) для тех, кто хочет эмигрировать, но не знает, с чего начать и даже какую выбрать страну. 
Они собрали опыт разных ЛГБТ людей, которые уже уехали в разные страны и сделали интерактивную карту. 
Информация о визах, условиях проживания, получения ВНЖ, беженства и многих других аспектах. Жаль, такого ресурса не было год-два назад, когда я сама была в растерянности и не знала что делать. Чекайте.

[Ссылка](https://mcclgbt.org/%D0%B3%D0%B0%D0%B9%D0%B4-%D0%BF%D0%BE-%D1%80%D0%B5%D0%BB%D0%BE%D0%BA%D0%B0%D1%86%D0%B8%D0%B8-%D0%B4%D0%BB%D1%8F-%D0%BB%D0%B3%D0%B1%D1%82%D0%BA-%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD/) на саму интерактивную карту. 
[Зеркало](https://ovgliyzv-bsccljbcrq-ez.a.run.app/%D0%B3%D0%B0%D0%B9%D0%B4-%D0%BF%D0%BE-%D1%80%D0%B5%D0%BB%D0%BE%D0%BA%D0%B0%D1%86%D0%B8%D0%B8-%D0%B4%D0%BB%D1%8F-%D0%BB%D0%B3%D0%B1%D1%82%D0%BA-%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD/) без VPN.","Если там высокая защищенность, чего все Т от трампа воют?"
Скорее да..но не сильно. Его пьяный дружок его угомонил.,Давай к нам на тайский бокс) один локоть- и мужик валялся бы
Пасиб Машуль за беспокойство😌,Всегда па )
"По этому и говорю тебе, будь осторожен. И вообще если начинается конфликт и оппонент суёт руку в карман отходи от него , есть большая вероятность что там кастет , баллончик, нож или пистолет .",Пасиб Машуль за беспокойство😌
Да..ты вроде о чем то таком рассказывала. Нелюди.,"По этому и говорю тебе, будь осторожен. И вообще если начинается конфликт и оппонент суёт руку в карман отходи от него , есть большая вероятность что там кастет , баллончик, нож или пистолет ."
За платье .,Да..ты вроде о чем то таком рассказывала. Нелюди.
А тебя за что?,За платье .
"Мне кастетом  когда череп пробили и губы насквозь , както не особо радости было 😅",А тебя за что?
Слабак 👎,Ага..но зато я не сбежал. А принял бой😅майские праздники удались!:)
Скорее да..но не сильно. Его пьяный дружок его угомонил.,Слабак 👎
Т.е. ты отхватил?,Скорее да..но не сильно. Его пьяный дружок его угомонил.
Ты ему втащил ?,"Как смог😅крч, с почином меня. Обряд инициации пройден:)"
"Утро!😀Ситуэйшен на работе. Ночью стою курю, никого не трогаю. На меня таращится мужик как то не оч по доброму..потом подходит ко мне,  сам в умат пьяный. Просит закурить.Я шлю его нафиг. Дорого сигаретами угощать. Он кладет мне руку на плечо и спрашивает суровым голосом""Ты пацан?""😆мама! Думаю ща скажу шо пацан..наверняка получу в табло..а если девка мож и не получу😂крч, я решил получить в табло, но не признаться:) Эпилог: мужик в тот вечер так и не покурил:)).",Ты ему втащил ?
